epoch,train_loss,train_acc,train_f1,train_precision,train_recall,train_hamming_loss,val_loss,val_acc,val_f1,val_precision,val_recall,val_hamming_loss
1,0.3214721368376616,432.6050955414013,0.215995128020115,0.23790125598964243,0.19814888535031847,0.16005396319886767,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
2,0.32147213512924827,431.71337579617835,0.19999867920699588,0.21072458222784718,0.19033638535031847,0.16931322245812694,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
3,0.3214721617045676,432.6050955414013,0.21928889155896658,0.23457172958950845,0.20596138535031847,0.16294748171738618,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
4,0.3214721770802881,433.94267515923565,0.2365912130618013,0.2537948861689869,0.22158638535031847,0.15889655579146025,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
5,0.32147216208421503,432.1592356687898,0.22299387753933209,0.23064610512546901,0.21637805201698512,0.1669984076433121,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
6,0.3214721691076923,430.5987261146497,0.18383743395452998,0.19398981257080986,0.17471138535031847,0.1724960928284973,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
7,0.3214721719550479,433.94267515923565,0.21542362034165316,0.22903745968742248,0.20335721868365178,0.1646835928284973,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
8,0.32147217916834886,431.9363057324841,0.19282037139179997,0.20438411175821247,0.18252388535031847,0.1696025743099788,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
9,0.3214721533523244,432.1592356687898,0.20088563139410595,0.2160684151091825,0.18773221868365178,0.16584100023590467,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
10,0.32147218030729113,432.828025477707,0.23216765152249028,0.24388836756681612,0.22158638535031847,0.16265812986553432,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
11,0.3214721704364582,432.828025477707,0.21463621069823383,0.2306015629756637,0.20075305201698512,0.16323683356923804,0.30966293811798096,0.125,0.14925373134328357,0.18518518518518517,0.125,0.15833333333333333
